Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"6,021",69.026,0.034120
NEW ENGLAND JOURNAL OF MEDICINE,"186,402",52.589,0.694050
ANNUAL REVIEW OF IMMUNOLOGY,"15,507",47.981,0.083040
REVIEWS OF MODERN PHYSICS,"22,606",38.403,0.095290
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"16,584",31.921,0.177910
ANNUAL REVIEW OF BIOCHEMISTRY,"16,587",31.190,0.069770
CELL,"136,514",29.887,0.670670
PHYSIOLOGICAL REVIEWS,"17,051",29.600,0.055300
NATURE REVIEWS CANCER,"15,764",29.190,0.150480
NATURE,"417,228",28.751,1.838700
LANCET,"135,949",28.638,0.451710
NATURE REVIEWS IMMUNOLOGY,"13,331",28.300,0.145080
NATURE MEDICINE,"45,986",26.382,0.234690
SCIENCE,"382,472",26.372,1.692720
NATURE IMMUNOLOGY,"22,562",26.218,0.228430
ANNUAL REVIEW OF NEUROSCIENCE,"9,652",26.077,0.042770
NATURE GENETICS,"57,100",25.556,0.324840
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"103,620",25.547,0.417480
NATURE REVIEWS NEUROSCIENCE,"13,082",24.520,0.113870
CANCER CELL,"10,890",23.858,0.117760
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,"7,867",23.545,0.052890
NATURE REVIEWS DRUG DISCOVERY,"8,055",23.308,0.067160
NATURE BIOTECHNOLOGY,"25,744",22.848,0.141050
CHEMICAL REVIEWS,"63,207",22.757,0.199310
NATURE REVIEWS GENETICS,"10,943",22.399,0.106260
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,"6,262",21.696,0.020070
PROGRESS IN MATERIALS SCIENCE,"2,803",20.846,0.008920
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,"5,894",20.290,0.024920
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"16,335",20.263,0.066150
NATURE MATERIALS,"13,606",19.782,0.146120
IMMUNITY,"23,873",19.266,0.165110
ANNUAL REVIEW OF PHYSIOLOGY,"7,174",18.875,0.027320
PHARMACOLOGICAL REVIEWS,"8,701",18.823,0.023760
ANNUAL REVIEW OF PLANT BIOLOGY,"8,714",18.712,0.028260
ENDOCRINE REVIEWS,"11,635",18.493,0.038200
ANNUAL REVIEW OF GENETICS,"4,889",18.302,0.030830
ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,"4,298",17.757,0.021240
NATURE CELL BIOLOGY,"20,639",17.623,0.187350
BEHAVIORAL AND BRAIN SCIENCES,"4,721",17.462,0.010890
BEHAVIORAL AND BRAIN SCIENCES,"4,721",17.462,0.010890
Cell Metabolism,"2,778",17.148,0.032290
JOURNAL OF CLINICAL INVESTIGATION,"83,472",16.915,0.280170
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,"1,856",16.385,0.003230
