Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
Living Reviews in Relativity,"1,215",17.462,0.005600
PLOS MEDICINE,"12,574",16.269,0.076260
Living Reviews in Solar Physics,370,12.500,0.002780
PLOS BIOLOGY,"20,579",11.452,0.149590
STUDIES IN MYCOLOGY,"1,266",10.625,0.003040
EMBO Molecular Medicine,776,10.333,0.005830
PLoS Pathogens,"15,642",9.127,0.113820
GENOME BIOLOGY,"15,556",9.036,0.082190
PLoS Genetics,"16,668",8.694,0.154260
Molecular Systems Biology,"4,671",8.626,0.039150
NUCLEIC ACIDS RESEARCH,"106,520",8.026,0.304880
Nature Communications,"1,859",7.396,0.012220
Particle and Fibre Toxicology,"1,029",7.253,0.004600
ENVIRONMENTAL HEALTH PERSPECTIVES,"28,595",7.036,0.063130
Retrovirology,"3,101",6.470,0.016390
EMERGING INFECTIOUS DISEASES,"20,666",6.169,0.066860
Eurosurveillance,"5,072",6.153,0.024850
Biotechnology for Biofuels,538,6.088,0.002610
BMC Medicine,"1,835",6.035,0.009660
NEOPLASIA,"5,282",5.946,0.019650
BMC BIOLOGY,"2,193",5.750,0.016720
ATMOSPHERIC CHEMISTRY AND PHYSICS,"18,402",5.520,0.075370
Cell Communication and Signaling,383,5.500,0.002180
Cell Death & Disease,613,5.333,0.002630
mBio,451,5.311,0.002600
BREAST CANCER RESEARCH,"6,483",5.245,0.026480
PLoS Computational Biology,"8,924",5.215,0.069590
DNA RESEARCH,"1,766",5.164,0.005470
Frontiers in Neural Circuits,290,5.098,0.003220
Orphanet Journal of Rare Diseases,"1,199",5.074,0.007290
Disease Models & Mechanisms,834,4.937,0.005880
Evolutionary Applications,876,4.916,0.005830
Evidence-based Complementary and Alternative Medicine,"2,422",4.774,0.004110
PLoS Neglected Tropical Diseases,"3,848",4.716,0.019300
Genome Biology and Evolution,673,4.618,0.005330
CRITICAL CARE,"8,639",4.607,0.035830
Advances in High Energy Physics,133,4.522,0.001130
Epigenetics & Chromatin,225,4.462,0.002240
Frontiers in Zoology,681,4.460,0.003620
ARTHRITIS RESEARCH & THERAPY,"7,538",4.445,0.030820
JOURNAL OF MEDICAL INTERNET RESEARCH,"2,017",4.409,0.005950
ALTEX-Alternatives to Animal Experimentation,460,4.390,0.001040
Molecular Neurodegeneration,828,4.278,0.004500
HEALTH TECHNOLOGY ASSESSMENT,"3,803",4.255,0.013180
NEW JOURNAL OF PHYSICS,"14,440",4.177,0.118810
Frontiers in Cellular Neuroscience,204,4.171,0.001650
PLoS One,"75,544",4.092,0.501620
BMC GENOMICS,"14,580",4.073,0.080630
VETERINARY RESEARCH,"2,816",4.060,0.006760
Biology Direct,979,4.017,0.006900
Journal of Statistical Software,"1,795",4.010,0.011760
Molecular Cancer,"3,737",3.993,0.020040
Journal of Hematology & Oncology,481,3.990,0.002320
Biogeosciences,"3,438",3.859,0.024050
Marine Drugs,"1,161",3.854,0.004240
International Journal of Behavioral Nutrition and Physical Activity,"1,956",3.828,0.009440
Journal of Neuroinflammation,"1,495",3.827,0.006070
MOLECULAR MEDICINE,"3,069",3.757,0.008110
ASN Neuro,177,3.750,0.001130
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"1,525",3.717,0.005880
Neural Development,594,3.703,0.005580
BMC Medical Genomics,827,3.693,0.005250
Environmental Research Letters,"1,417",3.631,0.010490
OPTICS EXPRESS,"54,094",3.587,0.240850
Microbial Cell Factories,"1,461",3.552,0.005190
Molecular Pain,"1,549",3.526,0.007930
BMC EVOLUTIONARY BIOLOGY,"7,405",3.521,0.047100
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"2,057",3.513,0.008110
Climate of the Past,879,3.509,0.007550
Journal of Translational Medicine,"1,927",3.474,0.008520
BMC PLANT BIOLOGY,"3,198",3.447,0.015550
Journal of Cheminformatics,179,3.419,0.000460
Translational Oncology,376,3.393,0.002290
JOURNAL OF VISION,"6,214",3.376,0.028680
RESPIRATORY RESEARCH,"3,362",3.360,0.014020
Cardiovascular Diabetology,"1,108",3.346,0.004080
Atmospheric Measurement Techniques,766,3.335,0.003370
Chemistry Central Journal,292,3.281,0.001390
Cryosphere,386,3.279,0.002740
Journal of NeuroEngineering and Rehabilitation,909,3.264,0.003080
MEDIATORS OF INFLAMMATION,"1,747",3.263,0.005420
Journal of the International AIDS Society,353,3.256,0.002160
Geoscientific Model Development,259,3.237,0.001580
Stem Cell Research & Therapy,129,3.212,0.000470
MALARIA JOURNAL,"5,132",3.191,0.021040
Molecular Imaging,"1,021",3.180,0.003080
Database-The Journal of Biological Databases and Curation,272,3.179,0.001450
ACTA DERMATO-VENEREOLOGICA,"3,834",3.176,0.006020
BMC Systems Biology,"1,734",3.148,0.010530
HYDROLOGY AND EARTH SYSTEM SCIENCES,"3,706",3.148,0.013960
International Journal of Nanomedicine,"1,608",3.130,0.005630
BMC INFECTIOUS DISEASES,"4,167",3.118,0.021010
CELLULAR ONCOLOGY,555,3.105,0.002620
Implementation Science,"1,055",3.100,0.005160
Implementation Science,"1,055",3.100,0.005160
Frontiers in Neuroanatomy,280,3.068,0.001850
BMC MICROBIOLOGY,"4,355",3.044,0.021260
BMC NEUROSCIENCE,"2,912",3.042,0.014210
EUROPEAN CELLS & MATERIALS,"1,097",3.028,0.003430
BMC CANCER,"7,853",3.011,0.038350
Cell Division,435,3.000,0.004110
Geospatial Health,330,3.000,0.001090
Parasites & Vectors,816,2.937,0.002660
GENETICS SELECTION EVOLUTION,"1,492",2.885,0.002580
Nutrition & Metabolism,"1,005",2.885,0.003890
Drug Design Development and Therapy,203,2.877,0.000820
BMC MOLECULAR BIOLOGY,"1,950",2.857,0.011280
Oxidative Medicine and Cellular Longevity,275,2.841,0.000920
BMC Pregnancy and Childbirth,858,2.834,0.005740
Plant Methods,485,2.833,0.002570
BMC DEVELOPMENTAL BIOLOGY,"2,140",2.790,0.013670
BMC BIOINFORMATICS,"14,268",2.751,0.077510
Nanoscale Research Letters,"2,447",2.726,0.009990
International Journal of Biological Sciences,947,2.699,0.004590
BMC Medical Research Methodology,"2,259",2.668,0.011010
Globalization and Health,278,2.650,0.001760
Globalization and Health,278,2.650,0.001760
Environmental Health,"1,218",2.649,0.005970
Judgment and Decision Making,757,2.620,0.004810
International Journal of Health Geographics,"1,125",2.617,0.004760
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"2,744",2.598,0.010890
BMC CELL BIOLOGY,"1,475",2.589,0.007580
Journal of Ovarian Research,156,2.571,0.000930
BMC Psychiatry,"1,629",2.552,0.007460
BMC IMMUNOLOGY,928,2.531,0.004550
Beilstein Journal of Organic Chemistry,812,2.517,0.002940
ECOLOGY AND SOCIETY,"2,543",2.516,0.010420
ECOLOGY AND SOCIETY,"2,543",2.516,0.010420
Trials,"1,055",2.496,0.006520
Nutrition Journal,"1,096",2.477,0.003820
BMC STRUCTURAL BIOLOGY,975,2.476,0.006260
BMC GENETICS,"1,823",2.475,0.007240
Mobile Information Systems,140,2.432,0.000460
JOURNAL OF HEADACHE AND PAIN,928,2.427,0.002680
BMC GASTROENTEROLOGY,"1,226",2.422,0.005340
Journal of Ethnobiology and Ethnomedicine,719,2.392,0.002020
MOLECULES,"5,118",2.386,0.015320
BIOSCIENCE REPORTS,"1,400",2.379,0.002560
BMC BIOTECHNOLOGY,"1,756",2.349,0.007220
Virology Journal,"2,928",2.343,0.013460
Frontiers in Human Neuroscience,586,2.339,0.004330
Biomedical Optics Express,568,2.333,0.001520
BMC Medical Genetics,"1,825",2.328,0.009490
Proteome Science,568,2.328,0.002330
Radiation Oncology,843,2.321,0.004320
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,908,2.311,0.001580
Ocean Science,523,2.293,0.003920
Journal of Inflammation-London,426,2.263,0.001960
International Journal of Medical Sciences,622,2.244,0.002580
BMC Complementary and Alternative Medicine,"1,068",2.241,0.002860
Aquaculture Environment Interactions,38,2.188,0.000170
BMC Nephrology,391,2.176,0.001850
Lipids in Health and Disease,"1,017",2.170,0.003430
Acta Orthopaedica,"6,454",2.168,0.010370
BMC Neurology,"1,081",2.167,0.005430
BMC Endocrine Disorders,193,2.163,0.000970
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,"1,703",2.148,0.005650
Frontiers in Computational Neuroscience,226,2.147,0.001730
MEMORIAS DO INSTITUTO OSWALDO CRUZ,"5,194",2.147,0.008900
INTEGRATIVE CANCER THERAPIES,687,2.136,0.001830
Behavioral and Brain Functions,862,2.127,0.004490
Health and Quality of Life Outcomes,"2,719",2.112,0.009600
Health and Quality of Life Outcomes,"2,719",2.112,0.009600
Gut Pathogens,101,2.109,0.000520
Clinical Interventions in Aging,588,2.083,0.002680
Clinics,"1,263",2.058,0.003910
JOURNAL OF REHABILITATION MEDICINE,"2,826",2.049,0.007260
Reproductive Biology and Endocrinology,"2,020",2.045,0.005330
SAMJ SOUTH AFRICAN MEDICAL JOURNAL,"2,561",2.042,0.004180
BMC Veterinary Research,604,2.000,0.002980
INTERNATIONAL JOURNAL OF SPELEOLOGY,199,2.000,0.001010
NEURAL PLASTICITY,470,2.000,0.001660
BMC PUBLIC HEALTH,"7,096",1.997,0.036130
BMC BIOCHEMISTRY,718,1.988,0.003320
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,"2,045",1.983,0.007000
JOURNAL OF BIOMEDICAL SCIENCE,"1,838",1.980,0.004820
Cancer Cell International,465,1.973,0.001670
Pain Research & Management,578,1.967,0.001860
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,"2,119",1.938,0.009000
Journal of Physiotherapy,53,1.917,0.000210
Dose-Response,287,1.915,0.001100
SWISS MEDICAL WEEKLY,"1,673",1.895,0.005030
BMC Pediatrics,990,1.885,0.004390
International Journal of Endocrinology,115,1.867,0.000650
Energies,345,1.865,0.001640
Theoretical Biology and Medical Modelling,487,1.859,0.002230
JOURNAL OF EPIDEMIOLOGY,"1,136",1.858,0.002750
Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,256,1.845,0.001240
ANNALES GEOPHYSICAE,"5,581",1.842,0.019890
INDIAN JOURNAL OF MEDICAL RESEARCH,"3,382",1.837,0.008530
Human Resources for Health,537,1.828,0.002590
Neuropsychiatric Disease and Treatment,734,1.809,0.003130
BMC Family Practice,977,1.799,0.004460
CROATIAN MEDICAL JOURNAL,"1,160",1.796,0.002840
BEHAVIOURAL NEUROLOGY,584,1.770,0.001800
Express Polymer Letters,776,1.769,0.003490
INTERNATIONAL JOURNAL OF PHOTOENERGY,533,1.769,0.001530
LANGUAGE LEARNING & TECHNOLOGY,449,1.741,0.001070
SENSORS,"4,763",1.739,0.019340
BMC Medical Ethics,200,1.737,0.000890
BMC Medical Ethics,200,1.737,0.000890
BMB Reports,826,1.718,0.004390
International Journal for Equity in Health,381,1.712,0.001790
EUROPEAN JOURNAL OF HISTOCHEMISTRY,573,1.688,0.001090
Dermatologic Therapy,"1,056",1.687,0.003640
JOURNAL OF RADIATION RESEARCH,"1,315",1.683,0.003620
Hereditary Cancer in Clinical Practice,90,1.680,0.000530
Materials,629,1.677,0.003170
GEOLOGICA ACTA,483,1.672,0.002240
BMC HEALTH SERVICES RESEARCH,"3,262",1.660,0.017710
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,"1,187",1.646,0.002140
Journal of the International Society of Sports Nutrition,259,1.643,0.000860
DISEASE MARKERS,943,1.642,0.003320
Diagnostic Pathology,510,1.638,0.002160
Standards in Genomic Sciences,197,1.621,0.000720
Annals of Thoracic Medicine,163,1.617,0.000730
POLAR RESEARCH,790,1.616,0.001640
International Journal of Environmental Research and Public Health,"1,084",1.605,0.005320
NONLINEAR PROCESSES IN GEOPHYSICS,"1,231",1.597,0.004830
BMC MUSCULOSKELETAL DISORDERS,"2,444",1.577,0.011550
PPAR Research,561,1.559,0.003010
Canadian Respiratory Journal,592,1.556,0.002090
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,768,1.548,0.001480
Canadian Journal of Infectious Diseases & Medical Microbiology,408,1.538,0.001410
Diabetology & Metabolic Syndrome,153,1.526,0.000630
ASIAN JOURNAL OF ANDROLOGY,"1,413",1.521,0.003730
Knowledge and Management of Aquatic Ecosystems,95,1.520,0.000190
PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS,"1,643",1.520,0.007400
BMC Cardiovascular Disorders,623,1.517,0.003560
Records of Natural Products,143,1.508,0.000390
GEOCHEMICAL TRANSACTIONS,279,1.500,0.001110
Viruses-Basel,349,1.500,0.002100
ACTA PALAEONTOLOGICA POLONICA,"1,089",1.488,0.004050
BMC Medical Informatics and Decision Making,739,1.477,0.003970
BMC International Health and Human Rights,236,1.444,0.001490
Pediatric Rheumatology,145,1.440,0.000840
JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,"3,137",1.434,0.006760
International Journal of Oral Science,84,1.411,0.000420
Biomedical Engineering Online,688,1.405,0.002320
Jornal Brasileiro de Pneumologia,884,1.391,0.002690
Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,823,1.389,0.002570
Journal of Nanomaterials,666,1.376,0.003170
MEDITERRANEAN MARINE SCIENCE,285,1.375,0.000480
ACTA VETERINARIA SCANDINAVICA,"1,220",1.367,0.002060
Arabian Journal of Chemistry,103,1.367,0.000300
FLORIDA ENTOMOLOGIST,"1,981",1.363,0.003310
Algorithms for Molecular Biology,191,1.352,0.001630
BMC Surgery,306,1.333,0.001280
Journal of Foot and Ankle Research,162,1.333,0.000730
