Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"28,839",244.585,0.065990
NEW ENGLAND JOURNAL OF MEDICINE,"332,831",79.260,0.701880
LANCET,"233,269",53.254,0.435530
CHEMICAL REVIEWS,"174,920",52.613,0.265460
Nature Reviews Materials,"3,218",51.941,0.015050
NATURE REVIEWS DRUG DISCOVERY,"31,313",50.167,0.054380
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"148,775",47.661,0.300050
Nature Energy,"5,072",46.859,0.020420
NATURE REVIEWS CANCER,"50,407",42.784,0.079710
NATURE REVIEWS IMMUNOLOGY,"39,215",41.982,0.085320
NATURE,"710,767",41.577,1.354950
NATURE REVIEWS GENETICS,"35,680",41.465,0.094240
SCIENCE,"645,134",41.058,1.126460
CHEMICAL SOCIETY REVIEWS,"125,900",40.182,0.275500
NATURE MATERIALS,"92,291",39.235,0.194880
Nature Nanotechnology,"57,369",37.490,0.170500
LANCET ONCOLOGY,"44,962",36.421,0.136350
REVIEWS OF MODERN PHYSICS,"47,289",36.367,0.054510
NATURE BIOTECHNOLOGY,"57,510",35.724,0.161320
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"43,667",35.612,0.095500
NATURE REVIEWS NEUROSCIENCE,"40,834",32.635,0.069900
NATURE MEDICINE,"75,461",32.621,0.171940
Nature Photonics,"39,331",32.521,0.128020
NATURE REVIEWS MICROBIOLOGY,"26,627",31.851,0.055470
CELL,"230,625",31.398,0.582960
ADVANCES IN PHYSICS,"5,747",30.917,0.005040
Energy & Environmental Science,"71,920",30.067,0.180180
World Psychiatry,"4,055",30.000,0.010540
World Psychiatry,"4,055",30.000,0.010540
LANCET NEUROLOGY,"28,678",27.144,0.068980
NATURE GENETICS,"93,641",27.125,0.233960
NATURE METHODS,"54,686",26.919,0.242950
PSYCHOLOGICAL INQUIRY,"4,063",26.364,0.003220
JOURNAL OF CLINICAL ONCOLOGY,"156,476",26.360,0.284950
Nature Chemistry,"29,548",26.201,0.101650
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"10,618",25.242,0.009830
LANCET INFECTIOUS DISEASES,"20,494",25.148,0.067190
Annual Review of Astronomy and Astrophysics,"10,702",24.912,0.021070
Nature Reviews Clinical Oncology,"8,354",24.653,0.026090
PROGRESS IN POLYMER SCIENCE,"24,520",24.558,0.027410
Materials Today,"9,962",24.537,0.017120
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,119",24.480,0.005440
Cancer Discovery,"11,896",24.373,0.065330
PHYSIOLOGICAL REVIEWS,"27,680",24.014,0.030370
PROGRESS IN MATERIALS SCIENCE,"12,382",23.750,0.015670
BMJ-British Medical Journal,"109,321",23.562,0.150400
EUROPEAN HEART JOURNAL,"56,054",23.425,0.146820
Living Reviews in Relativity,"2,409",23.333,0.005910
Cell Stem Cell,"23,493",23.290,0.095950
CANCER CELL,"35,217",22.844,0.096910
Annual Review of Psychology,"18,461",22.774,0.022530
Annual Review of Psychology,"18,461",22.774,0.022530
Journal of Statistical Software,"14,900",22.737,0.038710
Nature Physics,"33,233",22.727,0.122120
Annual Review of Immunology,"17,086",22.714,0.028780
ADVANCED MATERIALS,"190,543",21.950,0.365020
Advanced Energy Materials,"34,218",21.875,0.099790
Annual Review of Condensed Matter Physics,"2,349",21.853,0.012930
NATURE IMMUNOLOGY,"41,410",21.809,0.102220
Lancet Respiratory Medicine,"5,818",21.466,0.030550
Advances in Optics and Photonics,"2,050",21.286,0.004820
Psychological Science in the Public Interest,"1,231",21.286,0.003580
ACCOUNTS OF CHEMICAL RESEARCH,"67,004",20.955,0.141510
JAMA Oncology,"5,707",20.871,0.027770
GASTROENTEROLOGY,"73,198",20.773,0.120140
CLINICAL MICROBIOLOGY REVIEWS,"18,070",20.642,0.020210
Cell Metabolism,"29,834",20.565,0.101740
Nature Reviews Endocrinology,"7,377",20.265,0.025200
IEEE Communications Surveys and Tutorials,"12,217",20.230,0.035730
Annual Review of Biochemistry,"19,873",20.154,0.030170
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"26,127",20.099,0.030610
JAMA Internal Medicine,"11,840",19.989,0.076310
NATURE NEUROSCIENCE,"59,426",19.912,0.153570
Nature Reviews Neurology,"8,097",19.819,0.028060
IMMUNITY,"46,541",19.734,0.136280
ANNALS OF INTERNAL MEDICINE,"53,689",19.384,0.099150
Lancet Diabetes & Endocrinology,"5,549",19.313,0.029820
Nature Climate Change,"17,986",19.181,0.096590
Nature Climate Change,"17,986",19.181,0.096590
NATURE CELL BIOLOGY,"39,896",19.064,0.092910
PHARMACOLOGICAL REVIEWS,"12,719",18.964,0.014380
CIRCULATION,"167,720",18.881,0.223600
Annual Review of Plant Biology,"17,852",18.712,0.017650
Lancet Global Health,"4,455",18.705,0.024310
Lancet Global Health,"4,455",18.705,0.024310
TRENDS IN CELL BIOLOGY,"13,708",18.564,0.037610
Cell Host & Microbe,"15,851",17.872,0.064760
SURFACE SCIENCE REPORTS,"4,543",17.800,0.003150
Nano Today,"7,073",17.753,0.013520
EUROPEAN UROLOGY,"30,723",17.581,0.070540
Nature Reviews Gastroenterology & Hepatology,"6,686",17.324,0.024160
GUT,"42,750",17.016,0.071920
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"99,084",16.834,0.213530
Science Translational Medicine,"26,692",16.710,0.126390
JAMA Psychiatry,"8,414",16.642,0.044520
JAMA Psychiatry,"8,414",16.642,0.044520
Industrial and Organizational Psychology-Perspectives on Science and Practice,"1,123",16.375,0.002630
Nature Reviews Disease Primers,"1,559",16.071,0.007250
Annual Review of Pathology-Mechanisms of Disease,"4,402",15.952,0.009930
TRENDS IN ECOLOGY & EVOLUTION,"35,124",15.938,0.038810
ACTA NEUROPATHOLOGICA,"18,786",15.876,0.041460
Annual Review of Materials Research,"7,801",15.846,0.008300
TRENDS IN BIOCHEMICAL SCIENCES,"16,944",15.678,0.030830
Nature Reviews Rheumatology,"6,584",15.661,0.022300
TRENDS IN COGNITIVE SCIENCES,"25,391",15.557,0.040760
TRENDS IN COGNITIVE SCIENCES,"25,391",15.557,0.040760
ENDOCRINE REVIEWS,"12,975",15.545,0.009930
CELL RESEARCH,"13,728",15.393,0.037470
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,797",15.325,0.004990
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"61,024",15.239,0.087980
Lancet Psychiatry,"3,223",15.233,0.015200
Lancet Psychiatry,"3,223",15.233,0.015200
CIRCULATION RESEARCH,"52,753",15.211,0.082780
Nature Reviews Cardiology,"5,228",15.162,0.018210
BLOOD,"167,858",15.132,0.277840
BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.010130
