Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
ANNUAL REVIEW OF BIOCHEMISTRY,"16,951",40.782,Not Available
NATURE GENETICS,"25,154",38.854,Not Available
ANNUAL REVIEW OF IMMUNOLOGY,"10,269",37.796,Not Available
CELL,"148,744",37.297,Not Available
NATURE MEDICINE,"9,597",28.114,Not Available
NEW ENGLAND JOURNAL OF MEDICINE,"119,278",27.766,Not Available
NATURE,"269,100",27.368,Not Available
SCIENCE,"228,945",24.676,Not Available
ENDOCRINE REVIEWS,"7,365",23.017,Not Available
ANNUAL REVIEW OF NEUROSCIENCE,"6,023",21.952,Not Available
IMMUNITY,"7,518",20.820,Not Available
PHARMACOLOGICAL REVIEWS,"6,449",19.303,Not Available
PHYSIOLOGICAL REVIEWS,"9,737",19.259,Not Available
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,"5,607",19.000,Not Available
GENES & DEVELOPMENT,"30,074",18.868,Not Available
TRENDS IN BIOCHEMICAL SCIENCES,"13,333",18.766,Not Available
CHEMICAL REVIEWS,"20,121",18.286,Not Available
MICROBIOLOGICAL REVIEWS,"6,781",18.153,Not Available
CURRENT OPINION IN CELL BIOLOGY,"8,143",18.133,Not Available
PROGRESS IN INORGANIC CHEMISTRY,"1,951",17.667,Not Available
ANNUAL REVIEW OF PHYSIOLOGY,"5,791",17.386,Not Available
TRENDS IN NEUROSCIENCES,"12,489",17.084,Not Available
ANNUAL REVIEW OF PLANT PHYSIOLOGY AND PLANT MOLECULAR BIOLOGY,"6,142",17.021,Not Available
SOLID STATE PHYSICS-ADVANCES IN RESEARCH AND APPLICATIONS,"2,219",16.750,Not Available
IMMUNOLOGY TODAY,"13,824",16.465,Not Available
LANCET,"98,372",16.135,Not Available
NEURON,"27,185",15.821,Not Available
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,"3,916",15.132,Not Available
FASEB JOURNAL,"21,243",14.629,Not Available
JOURNAL OF EXPERIMENTAL MEDICINE,"60,825",14.384,Not Available
ACCOUNTS OF CHEMICAL RESEARCH,"10,902",14.045,Not Available
EMBO JOURNAL,"66,081",12.643,Not Available
REVIEWS OF MODERN PHYSICS,"10,940",12.623,Not Available
TRENDS IN PHARMACOLOGICAL SCIENCES,"8,842",12.323,Not Available
ANNUAL REVIEW OF GENETICS,"3,898",12.294,Not Available
ANNALS OF INTERNAL MEDICINE,"36,148",12.047,Not Available
JOURNAL OF CELL BIOLOGY,"66,838",12.005,Not Available
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"1,949",11.696,Not Available
ADVANCES IN IMMUNOLOGY,"3,718",11.581,Not Available
PROTEIN PROFILE,279,11.571,Not Available
BRAIN RESEARCH REVIEWS,"2,589",11.553,Not Available
JOURNAL OF THE NATIONAL CANCER INSTITUTE,"22,284",11.403,Not Available
ADVANCES IN CATALYSIS,"1,351",11.000,Not Available
TRENDS IN CELL BIOLOGY,"3,814",10.814,Not Available
NATURE STRUCTURAL BIOLOGY,"4,495",10.782,Not Available
ARCHIVES OF GENERAL PSYCHIATRY,"23,238",10.751,Not Available
ARCHIVES OF GENERAL PSYCHIATRY,"23,238",10.751,Not Available
GASTROENTEROLOGY,"40,388",10.250,Not Available
AMERICAN JOURNAL OF HUMAN GENETICS,"18,996",10.244,Not Available
HUMAN BRAIN MAPPING,713,10.049,Not Available
MOLECULAR AND CELLULAR BIOLOGY,"58,993",10.025,Not Available
CURRENT OPINION IN GENETICS & DEVELOPMENT,"4,110",9.984,Not Available
TRENDS IN GENETICS,"6,770",9.978,Not Available
DEVELOPMENT,"25,631",9.781,Not Available
CIRCULATION,"70,703",9.762,Not Available
PLANT CELL,"10,458",9.709,Not Available
JOURNAL OF CLINICAL INVESTIGATION,"74,774",9.667,Not Available
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,"3,070",9.618,Not Available
ANNALS OF NEUROLOGY,"21,722",9.513,Not Available
ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,"3,100",9.512,Not Available
BLOOD,"71,362",9.507,Not Available
QUARTERLY REVIEWS OF BIOPHYSICS,"1,559",9.421,Not Available
MAGNETIC RESONANCE QUARTERLY,309,9.333,Not Available
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"53,250",9.258,Not Available
ECONOMIST,977,9.167,Not Available
ADVANCES IN PROTEIN CHEMISTRY,"2,340",9.161,Not Available
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"9,205",9.099,Not Available
CA-A CANCER JOURNAL FOR CLINICIANS,"1,234",9.098,Not Available
CURRENT OPINION IN IMMUNOLOGY,"4,505",9.077,Not Available
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA-PHYSICAL SCIENCES,"271,952",9.040,Not Available
MOLECULAR BIOLOGY OF THE CELL,"6,001",8.926,Not Available
ANNUAL REVIEW OF MICROBIOLOGY,"4,012",8.778,Not Available
DIABETES,"21,461",8.675,Not Available
CLINICAL MICROBIOLOGY REVIEWS,"2,423",8.585,Not Available
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"40,906",8.560,Not Available
HUMAN MOLECULAR GENETICS,"12,093",8.505,Not Available
CIRCULATION RESEARCH,"28,059",8.438,Not Available
CANCER RESEARCH,"83,568",8.426,Not Available
ADVANCES IN MICROBIAL PHYSIOLOGY,578,8.333,Not Available
BEHAVIORAL AND BRAIN SCIENCES,"2,642",8.118,Not Available
BEHAVIORAL AND BRAIN SCIENCES,"2,642",8.118,Not Available
