"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"32,410",223.679,0.077370
2,Nature Reviews Materials,"7,901",74.449,0.033870
3,NEW ENGLAND JOURNAL OF MEDICINE,"344,581",70.670,0.686700
4,LANCET,"247,292",59.102,0.427870
5,NATURE REVIEWS DRUG DISCOVERY,"32,266",57.618,0.054890
6,CHEMICAL REVIEWS,"188,635",54.301,0.267170
7,Nature Energy,"11,113",54.000,0.040630
8,NATURE REVIEWS CANCER,"50,529",51.848,0.074080
9,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"156,350",51.273,0.300810
10,NATURE REVIEWS IMMUNOLOGY,"41,499",44.019,0.080220
11,NATURE REVIEWS GENETICS,"36,697",43.704,0.079260
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"45,869",43.351,0.091360
13,NATURE,"745,692",43.070,1.285010
14,SCIENCE,"680,994",41.037,1.070190
15,CHEMICAL SOCIETY REVIEWS,"139,751",40.443,0.247090
16,NATURE MATERIALS,"97,792",38.887,0.177380
17,REVIEWS OF MODERN PHYSICS,"50,151",38.296,0.051800
18,CELL,"242,829",36.216,0.571850
19,LANCET ONCOLOGY,"48,822",35.386,0.146770
20,NATURE REVIEWS MICROBIOLOGY,"29,637",34.648,0.054610
21,Nature Reviews Clinical Oncology,"9,626",34.106,0.031890
22,World Psychiatry,"5,426",34.024,0.014100
22,World Psychiatry,"5,426",34.024,0.014100
24,Nature Nanotechnology,"63,245",33.407,0.154960
25,Energy & Environmental Science,"81,176",33.250,0.160140
26,NATURE REVIEWS NEUROSCIENCE,"43,107",33.162,0.068480
27,Annual Review of Astronomy and Astrophysics,"11,821",33.069,0.019300
28,Nature Reviews Disease Primers,"4,339",32.274,0.019740
29,NATURE BIOTECHNOLOGY,"60,971",31.864,0.158140
30,Nature Photonics,"43,932",31.583,0.116060
31,NATURE MEDICINE,"79,243",30.641,0.162840
32,Nature Reviews Chemistry,"1,531",30.628,0.006720
33,LANCET NEUROLOGY,"30,748",28.755,0.069460
34,NATURE METHODS,"64,324",28.467,0.205090
35,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"28,380",28.295,0.030560
36,JOURNAL OF CLINICAL ONCOLOGY,"154,029",28.245,0.281750
37,Living Reviews in Relativity,"2,819",27.778,0.005210
38,BMJ-British Medical Journal,"112,901",27.604,0.152760
39,LANCET INFECTIOUS DISEASES,"23,088",27.516,0.073350
40,Annual Review of Biochemistry,"20,344",26.922,0.025450
41,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"11,322",26.467,0.008380
42,Cancer Discovery,"13,715",26.370,0.064810
43,ADVANCES IN PHYSICS,"5,903",26.100,0.004480
44,ADVANCED MATERIALS,"229,186",25.809,0.409390
45,NATURE GENETICS,"93,920",25.455,0.221380
46,Advanced Energy Materials,"50,724",24.884,0.120610
47,Nature Reviews Endocrinology,"8,908",24.646,0.026300
48,Lancet Diabetes & Endocrinology,"7,961",24.540,0.038680
49,PROGRESS IN POLYMER SCIENCE,"26,152",24.505,0.022440
50,Materials Today,"12,566",24.372,0.018830
51,PHYSIOLOGICAL REVIEWS,"28,672",24.250,0.026830
52,CANCER CELL,"36,056",23.916,0.091050
53,PROGRESS IN MATERIALS SCIENCE,"14,580",23.725,0.016820
54,Nature Reviews Gastroenterology & Hepatology,"8,506",23.570,0.025400
55,NATURE IMMUNOLOGY,"44,298",23.530,0.094250
56,EUROPEAN HEART JOURNAL,"57,358",23.239,0.125920
57,Nature Chemistry,"32,858",23.193,0.091920
58,CIRCULATION,"166,484",23.054,0.211290
59,Lancet Respiratory Medicine,"7,600",22.992,0.038860
60,IEEE Communications Surveys and Tutorials,"16,408",22.973,0.039650
61,JAMA Oncology,"9,488",22.416,0.048340
62,Cell Metabolism,"34,829",22.415,0.099550
63,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,206",22.250,0.006250
63,Psychological Science in the Public Interest,"1,437",22.250,0.003050
65,Nature Climate Change,"23,544",21.722,0.098100
65,Nature Climate Change,"23,544",21.722,0.098100
67,ACCOUNTS OF CHEMICAL RESEARCH,"69,687",21.661,0.131790
68,IMMUNITY,"51,051",21.522,0.126090
69,Cell Stem Cell,"24,628",21.464,0.087030
70,Annual Review of Immunology,"17,013",21.429,0.022210
71,Nature Reviews Neurology,"9,548",21.155,0.031060
72,NATURE NEUROSCIENCE,"63,390",21.126,0.164700
73,INTERNATIONAL MATERIALS REVIEWS,"5,262",21.086,0.004960
74,JAMA Internal Medicine,"15,215",20.768,0.095580
75,Nature Physics,"36,156",20.113,0.115320
76,Annual Review of Psychology,"20,230",19.755,0.022790
76,Annual Review of Psychology,"20,230",19.755,0.022790
78,Nature Reviews Nephrology,"5,767",19.684,0.017080
79,Science Robotics,898,19.400,0.002430
