Full.Journal.Title	1997	1997_SCIE_SSCI	1998	1998_SCIE_SSCI	1999	1999_SCIE_SSCI	2000	2000_SCIE_SSCI	2001	2001_SCIE_SSCI	2002	2002_SCIE_SSCI	2003	2003_SCIE_SSCI	2004	2004_SCIE_SSCI	2005	2005_SCIE_SSCI	2006	2006_SCIE_SSCI	2007	2007_SCIE_SSCI	2008	2008_SCIE_SSCI	2009	2009_SCIE_SSCI	2010	2010_SCIE_SSCI	2011	2011_SCIE_SSCI	2012	2012_SCIE_SSCI	2013	2013_SCIE_SSCI	2014	2014_SCIE_SSCI	2015	2015_SCIE_SSCI	2016	2016_SCIE_SSCI	2017	2017_SCIE_SSCI
emerging infectious diseases	336	336	838	838	1347	1347	1973	1973	2916	2916	3891	3891	5374	5374	7556	7556	8882	8882	11057	11057	12943	12943	15259	15259	18017	18017	20276	20276	20666	20666	21567	21567	24364	24364	24477	24477	25266	25266	28052	28052	29657	29657
haematologica	1133	1133	1179	1179	1412	1412	1691	1691	2258	2258	2677	2677	3160	3160	3394	3394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12461	12461	12975	12975	14110	14110	15075	15075	16138	16138
environmental health perspectives	5924	5924	7510	7510	7934	7934	9671	9671	10483	10483	12175	12175	12313	12313	13389	13389	11968	11968	14434	14434	16326	16326	19757	19757	21856	21856	26174	26174	28595	28595	30111	30111	31363	31363	34489	34489	34909	34909	37319	37319	39741	39741
analytical cellular pathology	334	334	294	294	326	326	318	318	347	347	388	388	361	361	491	491	300	300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	229	229	305	305	340	340	274	274	281	281	333	333	322	322
bioscience reports	683	683	888	888	818	818	797	797	805	805	799	799	886	886	893	893	819	819	916	916	1023	1023	1128	1128	1213	1213	1296	1296	1400	1400	1505	1505	1594	1594	1743	1743	1948	1948	2309	2309	2745	2745
fishery bulletin	1675	1675	2129	2129	2097	2097	2166	2166	2209	2209	2423	2423	2526	2526	2365	2365	2854	2854	2895	2895	3246	3246	2902	2902	3127	3127	2969	2969	3170	3170	3115	3115	3393	3393	3375	3375	3703	3703	3201	3201	3322	3322
croatica chemica acta	600	600	654	654	661	661	677	677	635	635	649	649	726	726	720	720	765	765	760	760	909	909	918	918	1071	1071	1143	1143	1043	1043	917	917	1026	1026	981	981	1018	1018	1063	1063	1179	1179
genetics selection evolution	453	453	648	648	608	608	542	542	575	575	643	643	612	612	900	900	982	982	1101	1101	1174	1174	1236	1236	1299	1299	1245	1245	1492	1492	1657	1657	1717	1717	1928	1928	1905	1905	2193	2193	2701	2701
college & research libraries	318	318	338	338	446	446	331	331	321	321	355	355	425	425	384	384	369	369	393	393	474	474	556	556	556	556	491	491	405	405	441	441	528	528	557	557	715	715	977	977	1121	1121
mediators of inflammation	230	230	298	298	280	280	310	310	331	331	359	359	366	366	405	405	456	456	494	494	571	571	810	810	1033	1033	1272	1272	1747	1747	1999	1999	2625	2625	3882	3882	5537	5537	7786	7786	9802	9802
