institution,authors,papers
Stanford University,1473,1045
University of Oxford,1192,902
University of Cambridge,1109,842
University of Washington,924,609
University College London,801,644
University of Pennsylvania,764,544
University of Michigan,763,484
University of California San Francisco,750,511
University of California San Diego,725,495
Imperial College London,703,472
University of Edinburgh,646,487
University of California Berkeley,620,528
Yale University,555,392
Duke University,554,323
Harvard University,532,557
Harvard Medical School,529,453
Columbia University,520,422
Cornell University,486,365
University of Toronto,462,334
Johns Hopkins University,461,407
University of California Davis,461,291
Icahn School of Medicine at Mount Sinai,448,281
University of Chicago,444,353
University of British Columbia,431,281
University of Minnesota,430,310
King's College London,417,263
University of Wisconsin-Madison,415,215
Massachusetts Institute of Technology,414,332
UCSF,404,259
Baylor College of Medicine,403,211
Northwestern University,395,238
University of Florida,374,256
University of Bristol,370,289
University of California Los Angeles,364,338
University of Pittsburgh,353,221
UCLA,352,254
INRA,348,169
University of Utah,336,156
University of Glasgow,335,225
University of Copenhagen,325,251
Princeton University,323,312
Wellcome Trust Sanger Institute,315,282
McGill University,315,226
University of Southern California,308,256
Karolinska Institutet,303,212
Michigan State University,301,202
The Scripps Research Institute,300,167
University of North Carolina at Chapel Hill,284,153
NA,284,95
Johns Hopkins University School of Medicine,282,153
Emory University,272,173
University of Massachusetts Medical School,272,148
Weizmann Institute of Science,268,126
Massachusetts General Hospital,265,280
Memorial Sloan Kettering Cancer Center,262,148
CNRS,259,219
Boston University,252,194
University of Manchester,250,141
Broad Institute of MIT and Harvard,248,259
National Institutes of Health,248,184
Institut Pasteur,247,146
University of Helsinki,246,166
University of Sheffield,244,166
California Institute of Technology,243,217
University of Birmingham,237,162
New York University,235,249
ETH Zurich,230,240
Cold Spring Harbor Laboratory,230,196
Allen Institute for Brain Science,230,73
UC Berkeley,229,205
University of Georgia,227,146
Vanderbilt University,224,172
University of California Irvine,223,148
Georgia Institute of Technology,216,139
Washington University School of Medicine,214,153
Monash University,213,137
University of Zurich,210,182
University of Virginia,208,153
Mayo Clinic,208,115
Indiana University,207,199
University of Texas at Austin,206,166
Uppsala University,205,162
University of Oslo,203,158
Newcastle University,200,115
University of Calgary,196,100
University of Lausanne,190,175
University of Illinois at Urbana-Champaign,190,136
Washington University in St. Louis,188,125
University of Melbourne,186,157
University of Nottingham,186,123
University of Dundee,186,118
Rutgers University,181,106
Ghent University,179,116
University of Liverpool,178,110
Broad Institute,176,179
Pennsylvania State University,173,147
University of Arizona,173,120
Stanford University School of Medicine,170,108
The Rockefeller University,170,107
Tel Aviv University,168,105
Fred Hutchinson Cancer Research Center,166,119
Purdue University,165,106
University of Iowa,165,100
University of Queensland,162,139
Aarhus University,161,146
Rice University,161,118
The University of Queensland,155,125
University of Warwick,155,112
Tsinghua University,153,108
Arizona State University,153,107
Brown University,151,101
UT Southwestern Medical Center,151,85
University of Alberta,150,87
The University of Tokyo,149,98
UCL,147,106
Colorado State University,147,91
Oregon Health & Science University,147,78
University of Exeter,146,134
MIT,145,183
Albert Einstein College of Medicine,145,80
University of California Riverside,143,105
Cardiff University,143,83
BGI-Shenzhen,143,61
National University of Singapore,141,121
University of Geneva,141,92
North Carolina State University,141,91
Virginia Commonwealth University,141,66
Utrecht University,140,67
Iowa State University,139,82
The University of Texas MD Anderson Cancer Center,136,41
Carnegie Mellon University,135,134
University of California Santa Cruz,135,95
Texas A&M University,135,94
Lawrence Berkeley National Laboratory,134,97
The Ohio State University,134,79
The Francis Crick Institute,133,82
University of Maryland,131,123
Stockholm University,131,94
UCSD,130,88
University of Leeds,130,70
University of Alabama at Birmingham,130,47
Case Western Reserve University,128,63
The Jackson Laboratory,127,65
Peking University,126,81
John Innes Centre,126,72
University of Leicester,126,65
Leiden University,125,84
University of Amsterdam,124,100
University of Rochester,124,91
Stony Brook University,123,99
The University of Melbourne,120,96
University of Notre Dame,120,79
KU Leuven,118,90
Columbia University Medical Center,118,76
The Pennsylvania State University,117,119
Dana-Farber Cancer Institute,117,99
Simon Fraser University,116,82
University of Otago,115,86
McMaster University,114,76
Wageningen University,113,75
Weill Cornell Medicine,112,88
Boston Children's Hospital,112,70
University of Illinois at Chicago,112,64
Australian National University,111,94
University of Groningen,111,77
National Cancer Institute,111,74
University of York,111,72
University of North Carolina,110,95
